id,ms_subclass,ms_zoning,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,heating,heating_qc,central_air,electrical,low_qual_fin_sf,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,sale_type,saleprice,age_sold,age_since_remod,age_garage,total_bath,total_bedroom,total_sqft
109,60,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,GasA,5,1,SBrkr,0,1,4,6,Typ,0,0,Attchd,2,2.0,3,3,1,0,44,0,0,0,0,3,2010,WD ,130500,34,5,34.0,3.0,3,2679.0
544,60,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,GasA,5,1,SBrkr,0,1,4,8,Typ,1,3,Attchd,2,2.0,3,3,1,0,74,0,0,0,0,4,2009,WD ,220000,13,12,12.0,4.0,4,3594.0
153,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,GasA,3,1,SBrkr,0,1,4,5,Typ,0,0,Detchd,1,1.0,3,3,1,0,52,0,0,0,0,1,2010,WD ,109000,57,3,57.0,2.0,3,2360.0
318,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,GasA,4,1,SBrkr,0,1,3,7,Typ,0,0,BuiltIn,3,2.0,3,3,1,100,0,0,0,0,0,4,2010,WD ,174000,4,3,3.0,3.0,3,2228.0
255,50,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,GasA,3,1,SBrkr,0,1,3,6,Typ,0,0,Detchd,1,2.0,3,3,0,0,59,0,0,0,0,3,2010,WD ,138500,110,17,53.0,2.0,3,2605.0
138,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,GasA,5,1,SBrkr,0,1,4,6,Mod,1,4,Attchd,3,2.0,3,3,1,0,0,0,0,0,0,6,2010,WD ,190000,44,8,44.0,3.0,2,3983.0
2827,180,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,GasA,4,1,SBrkr,0,1,3,5,Typ,0,0,Basment,3,2.0,3,3,1,0,44,0,0,0,0,6,2006,New,140000,1,0,1.0,3.0,2,2144.0
145,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,GasA,2,1,SBrkr,0,1,3,6,Typ,0,0,Attchd,2,2.0,3,3,1,0,0,0,0,0,0,5,2010,COD,142000,51,51,51.0,2.0,3,2907.0
1942,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,GasA,3,1,SBrkr,0,1,3,6,Typ,0,0,Detchd,1,1.0,3,3,1,0,324,0,0,0,400,6,2007,WD ,112500,55,55,55.0,1.0,2,2268.0
1956,60,RL,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,GasA,3,1,SBrkr,0,1,2,9,Typ,2,3,Attchd,1,2.0,3,3,1,335,0,0,0,0,0,9,2007,WD ,135000,38,38,38.0,4.0,5,3624.0
1044,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,GasA,3,1,SBrkr,0,1,3,4,Typ,0,0,Detchd,1,1.0,3,3,1,0,0,0,0,0,0,7,2008,COD,85400,37,37,37.0,2.0,2,1734.0
2752,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,GasA,5,1,SBrkr,0,1,4,6,Typ,0,0,Attchd,2,2.0,3,3,1,105,58,0,0,0,0,2,2006,WD ,183600,1,1,1.0,2.0,2,3048.0
807,70,RL,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,GasA,5,1,SBrkr,0,1,3,7,Mod,1,3,Attchd,1,2.0,3,3,P,0,0,0,0,0,0,6,2009,WD ,131000,129,2,109.0,1.0,4,2592.0
1177,160,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,GasA,5,1,SBrkr,0,1,4,7,Typ,0,0,Detchd,1,2.0,3,3,1,169,0,0,0,0,0,12,2008,ConLD,200000,9,8,8.0,4.0,3,3047.0
